game_id,game_date,matchup,home_team,home_pts,home_reb,home_ast,home_tov,home_fg_pct,away_team,away_pts,away_reb,away_ast,away_tov,away_fg_pct,home_win,point_diff,reb_diff,ast_diff,tov_diff,home_elo,away_elo,elo_diff,home_injuries,away_injuries,injury_diff,home_roll5_pts,away_roll5_pts,home_roll5_reb,away_roll5_reb,home_roll5_ast,away_roll5_ast,roll5_point_diff,roll5_reb_diff,roll5_ast_diff,home_advantage
0022400741,2025-02-08,DAL vs. HOU,DAL,16,4,0,0,0.7,HOU,3,3,0,0,0.167,1,13,1,0,0,1490.2,1553.7,-63.5,2,2,0,16.0,7.0,4.0,3.75,0.0,0.75,9.0,0.25,-0.75,1
0022400745,2025-02-08,CHI vs. GSW,CHI,16,4,5,3,0.6,GSW,7,8,0,1,0.667,1,9,-4,5,2,1490.2,1534.1,-43.899999999999864,0,2,2,10.5,8.0,2.0,4.333333333333333,2.5,1.3333333333333333,2.5,-2.333333333333333,1.1666666666666667,1
0022400748,2025-02-08,BOS @ NYK,NYK,0,4,0,2,0.0,BOS,11,8,0,1,0.571,0,-11,-4,0,1,1548.8,1597.6,-48.799999999999955,1,3,2,3.5,16.5,2.5,6.0,0.5,3.5,-13.0,-3.5,-3.0,1
0022400753,2025-02-09,HOU vs. TOR,HOU,11,6,1,1,0.364,TOR,15,9,7,0,0.316,0,-4,-3,-6,1,1553.7,1446.3,107.40000000000009,1,2,1,11.0,13.0,6.0,5.5,1.0,4.0,-2.0,0.5,-3.0,1
0022400752,2025-02-09,DET vs. CHA,DET,9,2,2,1,0.444,CHA,8,7,4,0,0.083,1,1,-5,-2,1,1514.6,1392.7,121.89999999999986,1,0,-1,12.0,8.0,2.25,7.0,4.25,4.0,4.0,-4.75,0.25,1
0022400754,2025-02-09,PHI @ MIL,MIL,13,8,5,3,0.385,PHI,7,2,1,1,0.429,1,6,6,4,2,1534.1,1417.1,117.0,1,3,2,13.0,17.0,8.0,2.5,5.0,4.0,-4.0,5.5,1.0,1
0022400768,2025-02-10,UTA @ LAL,LAL,2,0,0,1,1.0,UTA,9,1,0,0,0.75,0,-7,-1,0,1,1543.9,1382.9,161.0,1,0,-1,7.0,13.0,1.3333333333333333,2.6666666666666665,1.0,2.3333333333333335,-6.0,-1.3333333333333333,-1.3333333333333335,1
0022400757,2025-02-10,SAS @ WAS,WAS,18,6,2,1,0.7,SAS,7,3,1,1,0.222,1,11,3,1,0,1387.8,1465.9,-78.10000000000014,2,1,-1,11.0,12.75,4.666666666666667,3.0,3.6666666666666665,3.0,-1.75,1.666666666666667,0.6666666666666665,1
0022400758,2025-02-10,BKN vs. CHA,BKN,7,6,1,1,0.286,CHA,9,9,4,3,0.25,0,-2,-3,-3,-2,1426.8,1392.7,34.09999999999991,1,3,2,5.25,8.5,4.0,8.0,2.0,4.0,-3.25,-4.0,-2.0,1
0022400759,2025-02-10,MIA vs. BOS,MIA,3,1,0,0,0.2,BOS,33,8,2,0,0.5,0,-30,-7,-2,0,1480.5,1597.6,-117.09999999999991,2,0,-2,3.0,22.0,1.0,6.666666666666667,0.0,3.0,-19.0,-5.666666666666667,-3.0,1
0022400760,2025-02-10,GSW @ MIL,MIL,21,6,0,2,0.667,GSW,2,0,0,0,0.5,1,19,6,0,2,1534.1,1534.1,0.0,2,2,0,17.0,6.5,7.0,3.25,2.5,1.0,10.5,3.75,1.5,1
0022400763,2025-02-10,DEN vs. POR,DEN,2,0,1,0,1.0,POR,21,7,0,1,1.0,0,-19,-7,1,-1,1543.9,1475.6,68.30000000000018,3,0,-3,4.5,10.5,2.25,6.0,2.5,0.0,-6.0,-3.75,2.5,1
0022400762,2025-02-10,DAL vs. SAC,DAL,4,0,0,1,0.667,SAC,16,15,8,3,0.7,0,-12,-15,-8,-2,1490.2,1495.1,-4.899999999999864,3,0,-3,10.0,11.5,2.0,9.0,0.0,4.0,-1.5,-7.0,-4.0,1
0022400761,2025-02-10,NOP @ OKC,OKC,8,1,5,1,0.5,NOP,0,1,0,1,0.0,1,8,0,5,0,1631.7,1402.4,229.29999999999995,0,3,3,8.0,8.0,4.0,3.75,2.25,1.75,0.0,0.25,0.5,1
0022400755,2025-02-10,CLE vs. MIN,CLE,0,1,0,2,0.0,MIN,4,0,0,0,0.5,0,-4,1,0,2,1612.2,1539.0,73.20000000000005,3,0,-3,2.5,4.0,2.5,0.0,0.0,0.0,-1.5,2.5,0.0,1
0022400756,2025-02-10,ATL @ ORL,ORL,0,3,0,1,0.0,ATL,9,1,2,1,0.333,0,-9,2,-2,0,1500.0,1495.1,4.900000000000091,0,3,3,8.5,26.0,5.0,1.0,3.0,8.333333333333334,-17.5,4.0,-5.333333333333334,1
0022400766,2025-02-11,CHI vs. DET,CHI,6,3,0,0,0.333,DET,0,0,1,0,0.0,1,6,3,-1,0,1490.2,1514.6,-24.399999999999864,3,1,-2,9.0,0.0,2.3333333333333335,0.0,1.6666666666666667,1.0,9.0,2.3333333333333335,0.6666666666666667,1
0022400765,2025-02-11,NYK @ IND,IND,0,5,1,0,0.0,NYK,0,0,0,0,0.0,0,0,5,1,0,1543.9,1548.8,-4.899999999999864,3,0,-3,0.0,2.0,5.0,0.0,1.0,0.5,-2.0,5.0,0.5,1
0022400764,2025-02-11,PHI vs. TOR,PHI,0,0,0,0,0.0,TOR,3,1,0,0,0.333,0,-3,-1,0,0,1417.1,1446.3,-29.200000000000045,2,1,-1,13.666666666666666,9.666666666666666,2.6666666666666665,4.0,5.333333333333333,2.6666666666666665,4.0,-1.3333333333333335,2.6666666666666665,1
0022400767,2025-02-11,MEM @ PHX,PHX,6,4,1,0,0.5,MEM,4,9,0,0,0.333,1,2,-5,1,0,1475.6,1534.1,-58.5,2,1,-1,6.0,5.5,2.6666666666666665,6.5,1.0,0.5,0.5,-3.8333333333333335,0.5,1
0022400769,2025-02-12,BOS vs. SAS,BOS,32,14,7,2,0.48,SAS,0,0,0,0,,1,32,14,7,2,1597.6,1465.9,131.69999999999982,1,2,1,17.0,10.2,8.5,2.4,4.5,2.4,6.800000000000001,6.1,2.1,1
0022400774,2025-02-12,CLE @ TOR,TOR,2,0,2,2,0.2,CLE,15,2,8,1,0.467,0,-13,-2,-6,1,1446.3,1612.2,-165.9000000000001,1,0,-1,9.333333333333334,19.333333333333332,1.3333333333333333,5.333333333333333,5.333333333333333,6.0,-9.999999999999998,-4.0,-0.666666666666667,1
0022400777,2025-02-12,NOP vs. SAC,NOP,8,6,2,0,0.6,SAC,16,15,5,1,0.615,0,-8,-9,-3,-1,1402.4,1495.1,-92.69999999999982,2,2,0,8.0,13.0,6.0,11.0,2.0,4.333333333333333,-5.0,-5.0,-2.333333333333333,1
0022400782,2025-02-12,DAL vs. GSW,DAL,12,1,0,0,0.667,GSW,13,5,5,3,0.5,0,-1,-4,-5,-3,1490.2,1534.1,-43.899999999999864,0,2,2,10.666666666666666,7.8,1.6666666666666667,3.6,0.0,1.8,2.8666666666666663,-1.9333333333333333,-1.8,1
0022400780,2025-02-12,DEN vs. POR,DEN,3,3,1,2,0.2,POR,13,2,2,1,0.4,0,-10,1,-1,1,1543.9,1475.6,68.30000000000018,0,0,0,4.2,11.333333333333334,2.4,4.666666666666667,2.2,0.6666666666666666,-7.133333333333334,-2.266666666666667,1.5333333333333337,1
0022400779,2025-02-12,HOU vs. PHX,HOU,5,1,1,0,1.0,PHX,10,5,6,6,0.364,0,-5,-4,-5,-6,1553.7,1475.6,78.10000000000014,3,3,0,8.0,8.0,3.5,3.0,1.0,4.0,0.0,0.5,-3.0,1
0022400775,2025-02-12,CHI vs. DET,CHI,15,2,2,1,0.714,DET,0,1,1,1,0.0,1,15,1,1,0,1490.2,1514.6,-24.399999999999864,3,0,-3,10.5,0.0,2.25,0.5,1.75,1.0,10.5,1.75,0.75,1
0022400781,2025-02-12,LAL @ UTA,UTA,10,7,9,4,0.667,LAL,9,0,1,0,0.75,1,1,7,8,4,1382.9,1543.9,-161.0,3,0,-3,5.0,7.5,3.5,3.0,4.5,0.5,-2.5,0.5,4.0,1
0022400778,2025-02-12,MIA @ OKC,OKC,17,2,1,2,0.7,MIA,11,3,4,2,0.333,1,6,-1,-3,0,1631.7,1480.5,151.20000000000005,0,2,2,9.8,13.5,3.6,3.5,2.0,5.0,-3.6999999999999993,0.10000000000000009,-3.0,1
0022400776,2025-02-12,MIL @ MIN,MIN,2,1,0,1,0.2,MIL,4,5,3,1,0.167,0,-2,-4,-3,0,1539.0,1534.1,4.900000000000091,1,3,2,7.25,5.0,3.25,3.0,2.5,2.5,2.25,0.25,0.0,1
0022400771,2025-02-12,IND @ WAS,WAS,14,9,1,2,0.5,IND,28,5,4,2,0.579,0,-14,4,-3,0,1387.8,1543.9,-156.10000000000014,3,0,-3,11.75,13.75,5.75,4.0,3.0,4.25,-2.0,1.75,-1.25,1
0022400772,2025-02-12,BKN vs. PHI,BKN,6,5,3,0,0.333,PHI,13,5,3,0,0.462,0,-7,0,0,0,1426.8,1417.1,9.700000000000045,0,0,0,5.4,15.666666666666666,4.2,3.3333333333333335,2.2,3.6666666666666665,-10.266666666666666,0.8666666666666667,-1.4666666666666663,1
0022400773,2025-02-12,NYK vs. ATL,NYK,44,10,3,7,0.56,ATL,16,2,1,1,0.545,1,28,8,2,6,1548.8,1495.1,53.700000000000045,3,0,-3,17.0,23.5,5.0,1.25,1.3333333333333333,6.5,-6.5,3.75,-5.166666666666667,1
0022400770,2025-02-12,ORL vs. CHA,ORL,16,7,2,4,0.545,CHA,3,3,1,0,0.2,1,13,4,1,4,1500.0,1392.7,107.29999999999995,3,3,0,11.0,6.666666666666667,5.666666666666667,6.333333333333333,2.6666666666666665,3.0,4.333333333333333,-0.6666666666666661,-0.3333333333333335,1
0022400783,2025-02-12,LAC vs. MEM,LAC,5,0,0,0,0.667,MEM,4,2,0,2,0.333,1,1,-2,0,-2,1543.9,1534.1,9.800000000000182,0,1,1,8.75,5.0,3.5,5.0,2.0,0.3333333333333333,3.75,-1.5,1.6666666666666667,1
0022400785,2025-02-13,NOP vs. SAC,NOP,2,2,0,0,0.5,SAC,32,2,10,3,0.5,0,-30,0,-10,-3,1402.4,1495.1,-92.69999999999982,0,1,1,5.0,17.75,4.0,8.75,1.0,5.75,-12.75,-4.75,-4.75,1
0022400786,2025-02-13,DAL vs. MIA,DAL,2,5,3,0,0.0,MIA,17,9,1,2,0.571,0,-15,-4,2,-2,1490.2,1480.5,9.700000000000045,1,3,2,8.5,14.2,2.5,4.6,0.75,4.2,-5.699999999999999,-2.0999999999999996,-3.45,1
0022401004,2025-02-13,LAC @ UTA,UTA,16,4,8,7,0.556,LAC,6,5,0,0,0.4,1,10,-1,8,7,1382.9,1543.9,-161.0,1,3,2,8.666666666666666,6.0,3.6666666666666665,5.0,5.666666666666667,0.0,2.666666666666666,-1.3333333333333335,5.666666666666667,1
0022400787,2025-02-13,MIN vs. OKC,MIN,6,3,5,0,0.429,OKC,0,0,0,0,0.0,1,6,3,5,0,1539.0,1631.7,-92.70000000000005,1,0,-1,7.0,0.0,3.2,0.0,3.0,0.0,7.0,3.2,3.0,1
0022400784,2025-02-13,GSW @ HOU,HOU,3,5,3,1,0.2,GSW,2,1,0,0,0.2,1,1,4,3,1,1553.7,1534.1,19.600000000000136,3,3,0,6.333333333333333,7.4,4.0,3.8,1.6666666666666667,1.8,-1.0666666666666673,0.20000000000000018,-0.1333333333333333,1
0022400524,2025-02-19,LAL vs. CHA,LAL,8,2,2,3,0.333,CHA,27,5,6,3,0.474,0,-19,-3,-4,0,1543.9,1392.7,151.20000000000005,0,1,1,7.25,11.75,1.5,6.0,1.25,3.75,-4.5,-4.5,-2.5,1
0022400791,2025-02-20,CLE @ BKN,BKN,13,4,3,3,0.364,CLE,9,4,1,1,0.3,1,4,0,2,2,1426.8,1612.2,-185.4000000000001,3,2,-1,7.6,16.75,4.6,5.0,2.0,4.75,-9.15,-0.40000000000000036,-2.75,1
0022400790,2025-02-20,ATL vs. ORL,ATL,2,2,0,0,0.5,ORL,10,2,0,0,0.571,0,-8,0,0,0,1495.1,1500.0,-4.900000000000091,1,1,0,3.6666666666666665,4.75,1.3333333333333333,1.75,1.0,0.25,-1.0833333333333335,-0.41666666666666674,0.75,1
0022400792,2025-02-20,CHI @ NYK,NYK,7,1,1,0,0.5,CHI,5,5,3,3,0.25,1,2,-4,-2,-3,1548.8,1490.2,58.59999999999991,1,1,0,14.5,9.5,4.0,5.0,1.25,2.0,5.0,-1.0,-0.75,1
0022400789,2025-02-20,BOS @ PHI,PHI,16,5,7,0,0.6,BOS,0,2,0,0,0.0,1,16,3,7,0,1417.1,1597.6,-180.5,3,2,-1,14.25,16.5,3.25,5.5,5.75,2.25,-2.25,-2.25,3.5,1
0022400796,2025-02-20,LAL @ POR,POR,28,4,5,2,0.643,LAL,10,6,0,2,0.571,1,18,-2,5,0,1475.6,1543.9,-68.30000000000018,3,0,-3,9.333333333333334,8.333333333333334,1.6666666666666667,4.0,2.0,0.3333333333333333,1.0,-2.333333333333333,1.6666666666666667,1
0022400793,2025-02-20,MIL vs. LAC,MIL,13,0,2,2,0.714,LAC,20,15,1,2,0.615,0,-7,-15,1,0,1534.1,1543.9,-9.800000000000182,1,0,-1,15.666666666666666,13.0,4.666666666666667,10.0,2.3333333333333335,0.5,2.666666666666666,-5.333333333333333,1.8333333333333335,1
0022400795,2025-02-20,PHX @ SAS,SAS,15,4,2,0,0.667,PHX,2,3,3,1,,1,13,1,-1,-1,1465.9,1475.6,-9.699999999999818,2,3,1,15.0,6.0,4.0,3.0,2.0,3.6666666666666665,9.0,1.0,-1.6666666666666665,1
0022400788,2025-02-20,IND vs. MEM,IND,22,5,9,1,0.529,MEM,2,0,1,0,1.0,1,20,5,8,1,1543.9,1534.1,9.800000000000182,0,1,1,11.0,4.25,5.0,3.75,5.0,0.5,6.75,1.25,4.5,1
0022400794,2025-02-20,DEN vs. CHA,DEN,16,4,2,1,0.5,CHA,16,1,3,0,0.438,0,0,3,-1,1,1543.9,1392.7,151.20000000000005,2,2,0,5.2,12.6,2.0,5.0,1.8,3.6,-7.3999999999999995,-3.0,-1.8,1
0022400804,2025-02-21,OKC @ UTA,UTA,9,3,12,4,0.4,OKC,0,0,0,0,,1,9,3,12,4,1382.9,1631.7,-248.79999999999995,3,1,-2,8.75,0.0,3.5,0.0,7.25,0.0,8.75,3.5,7.25,1
0022400802,2025-02-21,SAS vs. DET,SAS,3,0,2,2,0.333,DET,16,0,1,2,0.571,0,-13,0,1,0,1465.9,1514.6,-48.69999999999982,3,2,-1,9.0,5.333333333333333,2.0,0.3333333333333333,2.0,1.0,3.666666666666667,1.6666666666666667,1.0,1
